Robin 80	55	50	50	50	55	40	30
Chrom 85	60	10	60	60	70	45	25
Lissa 70	30	50	45	50	65	20	50
Frederick 110	65	10	55	50	40	55	25
Sully 85	55	20	60	60	60	45	25
Virion 80	55	30	70	60	40	35	30
Stahl 95	65	10	55	50	50	60	15
Vaike 105	75	10	65	50	45	50	10
Miriel 70	15	60	60	60	50	25	40
Sumia 75	45	25	70	70	60	30	40
Kellam 100	65	15	55	45	35	70	35
Donnel 85	55	15	45	50	80	45	20
Lon'qu 80	55	20	75	75	55	30	25
Ricken 85	20	55	50	50	65	35	35
Maribelle 65	20	60	50	50	80	15	55
Panne 100	60	15	70	75	40	50	20
Gaius 85	60	20	70	70	35	30	20
Cordelia 90	60	20	60	60	45	45	35
Gregor 105	60	10	65	50	45	50	15
Nowi 120	65	40	50	50	65	65	50
Libra 90	40	50	55	50	45	35	40
Tharja 90	30	60	40	60	40	45	30
Anna 80	40	45	60	55	80	35	40
Olivia 75	40	25	70	70	60	25	25
Cherche 100	70	20	55	50	50	55	15
Henry 95	40	50	60	55	40	50	30
Say'ri 90	55	20	65	65	45	40	40
Tiki 130	60	45	55	50	80	60	60
Basilio 110	70	10	60	50	45	50	20
Flavia 95	55	20	70	65	55	40	30
Gangrel 75	50	45	75	70	30	35	40
Walhart 125	80	15	45	45	45	55	35
Emmeryn 80	10	75	60	60	70	30	45
Yen'fay 100	65	10	70	75	60	35	30
Aversa 85	35	60	55	60	65	35	40
Priam 125	80	10	65	50	50	50	15
